,TFIDF4
ge,0.0017130522257132919
pois,0.0009695194253101392
cyclic,0.000965538527220219
locationbased,0.000965538527220219
poi,0.0009048847969561299
ges,0.0007163672943891948
edges,0.0007163672943891948
foursquare,0.0006540744861814388
location,0.0006229280820775607
dynamic,0.0005294888697659266
checkin,0.0004912231754904705
metric,0.00046719606155817047
yin,0.00046719606155817047
preferences,0.00045244239847806495
wij,0.0004360496574542925
slot,0.0004360496574542925
ffect,0.0004360496574542925
eij,0.0004360496574542925
joint,0.0004360496574542925
bipartite,0.0004360496574542925
fluence,0.0003737568492465364
poiword,0.0003737568492465364
vi,0.0003490269931116501
prmeg,0.00034261044514265833
poitime,0.00034261044514265833
realtime,0.00034261044514265833
poiregion,0.00034261044514265833
fig,0.00031146404103878035
poipoi,0.00031146404103878035
cold,0.00031146404103878035
patterns,0.0002973192904284427
daily,0.0002803176369349023
embed,0.0002803176369349023
jim,0.0002803176369349023
coldstart,0.00027146543908683897
accuracy,0.00027146543908683897
graphs,0.0002585385134160371
gowalla,0.0002585385134160371
lbsns,0.0002491712328310243
du,0.0002491712328310243
spatial,0.0002491712328310243
interval,0.0002491712328310243
manner,0.0002491712328310243
largescale,0.0002491712328310243
graphbased,0.0002326846620744334
influence,0.0002326846620744334
geosage,0.00021802482872714625
effectiveness,0.00021802482872714625
checkedin,0.00021802482872714625
vertices,0.00021802482872714625
content,0.00020683081073282966
words,0.00020683081073282966
update,0.0001868784246232682
cui,0.0001868784246232682
markov,0.0001868784246232682
vb,0.0001868784246232682
dimensional,0.0001868784246232682
svdfeature,0.0001868784246232682
region,0.00016805003372042412
slots,0.00016805003372042412
thus,0.00016805003372042412
impact,0.00016805003372042412
evv,0.00015573202051939018
timestamps,0.00015573202051939018
evw,0.00015573202051939018
evr,0.00015573202051939018
awareness,0.00015573202051939018
spatiotemporal,0.00015573202051939018
fied,0.00015573202051939018
unified,0.00015573202051939018
evt,0.00015573202051939018
heterogeneous,0.00015573202051939018
profile,0.00015573202051939018
prme,0.00015573202051939018
associated,0.00015573202051939018
word,0.00015512310804962227
capture,0.0001421961823788204
recommender,0.00012926925670801856
start,0.00012926925670801856
negative,0.00012926925670801856
va,0.00012458561641551214
